season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2014,MLB,NL-Central,MIL,SLN,SLN,7,12,0,19
2014,MLB,NL-Central,PIT,SLN,SLN,8,11,0,19
2014,MLB,NL-East,ATL,MIA,MIA,9,10,0,19
2014,MLB,NL-East,ATL,NYN,NYN,9,10,0,19
2014,MLB,NL-East,ATL,PHI,ATL,11,8,0,19
2014,MLB,NL-East,ATL,WAS,ATL,11,8,0,19
2014,MLB,NL-East,MIA,NYN,NYN,8,11,0,19
2014,MLB,NL-East,MIA,PHI,PHI,9,10,0,19
2014,MLB,NL-East,MIA,WAS,WAS,6,13,0,19
2014,MLB,NL-East,NYN,PHI,NYN,13,6,0,19
2014,MLB,NL-East,NYN,WAS,WAS,4,15,0,19
2014,MLB,NL-East,PHI,WAS,PHI,10,9,0,19
2014,MLB,NL-West,ARI,COL,COL,9,10,0,19
2014,MLB,NL-West,ARI,LAN,LAN,4,15,0,19
2014,MLB,NL-West,ARI,SDN,ARI,12,7,0,19
2014,MLB,NL-West,ARI,SFN,SFN,6,13,0,19
2014,MLB,NL-West,COL,LAN,LAN,6,13,0,19
2014,MLB,NL-West,COL,SDN,COL,10,9,0,19
2014,MLB,NL-West,COL,SFN,COL,10,9,0,19
2014,MLB,NL-West,LAN,SDN,LAN,12,7,0,19
2014,MLB,NL-West,LAN,SFN,LAN,10,9,0,19
2014,MLB,NL-West,SDN,SFN,SDN,10,9,0,19
2015,MLB,AL-Central,CHA,CLE,CHA,10,9,0,19
2015,MLB,AL-Central,CHA,DET,DET,9,10,0,19
2015,MLB,AL-Central,CHA,KCA,KCA,7,12,0,19
2015,MLB,AL-Central,CHA,MIN,MIN,6,13,0,19
2015,MLB,AL-Central,CLE,DET,DET,7,11,0,18
2015,MLB,AL-Central,CLE,KCA,KCA,9,10,0,19
2015,MLB,AL-Central,CLE,MIN,MIN,7,12,0,19
2015,MLB,AL-Central,DET,KCA,KCA,9,10,0,19
2015,MLB,AL-Central,DET,MIN,DET,11,8,0,19
2015,MLB,AL-Central,KCA,MIN,KCA,12,7,0,19
2015,MLB,AL-East,BAL,BOS,BAL,11,8,0,19
2015,MLB,AL-East,BAL,NYA,BAL,10,9,0,19
2015,MLB,AL-East,BAL,TBA,BAL,10,9,0,19
2015,MLB,AL-East,BAL,TOR,TOR,8,11,0,19
2015,MLB,AL-East,BOS,NYA,NYA,8,11,0,19
2015,MLB,AL-East,BOS,TBA,TBA,9,10,0,19
2015,MLB,AL-East,BOS,TOR,BOS,10,9,0,19
2015,MLB,AL-East,NYA,TBA,NYA,12,7,0,19
2015,MLB,AL-East,NYA,TOR,TOR,6,13,0,19
2015,MLB,AL-East,TBA,TOR,TBA,10,9,0,19
2015,MLB,AL-West,ANA,HOU,HOU,9,10,0,19
2015,MLB,AL-West,ANA,OAK,ANA,11,8,0,19
2015,MLB,AL-West,ANA,SEA,ANA,12,7,0,19
2015,MLB,AL-West,ANA,TEX,ANA,12,7,0,19
2015,MLB,AL-West,HOU,OAK,HOU,10,9,0,19
2015,MLB,AL-West,HOU,SEA,HOU,12,7,0,19
2015,MLB,AL-West,HOU,TEX,TEX,6,13,0,19
2015,MLB,AL-West,OAK,SEA,SEA,6,13,0,19
2015,MLB,AL-West,OAK,TEX,OAK,10,9,0,19
2015,MLB,AL-West,SEA,TEX,SEA,12,7,0,19
2015,MLB,NL-Central,CHN,CIN,CHN,13,6,0,19
2015,MLB,NL-Central,CHN,MIL,CHN,14,5,0,19
2015,MLB,NL-Central,CHN,PIT,CHN,11,8,0,19
2015,MLB,NL-Central,CHN,SLN,SLN,8,11,0,19
2015,MLB,NL-Central,CIN,MIL,MIL,9,10,0,19
2015,MLB,NL-Central,CIN,PIT,CIN,11,8,0,19
2015,MLB,NL-Central,CIN,SLN,SLN,7,12,0,19
2015,MLB,NL-Central,MIL,PIT,MIL,10,9,0,19
2015,MLB,NL-Central,MIL,SLN,SLN,6,13,0,19
2015,MLB,NL-Central,PIT,SLN,SLN,9,10,0,19
2015,MLB,NL-East,ATL,MIA,ATL,10,9,0,19
2015,MLB,NL-East,ATL,NYN,NYN,8,11,0,19
2015,MLB,NL-East,ATL,PHI,ATL,11,8,0,19
2015,MLB,NL-East,ATL,WAS,WAS,5,14,0,19
2015,MLB,NL-East,MIA,NYN,NYN,8,11,0,19
2015,MLB,NL-East,MIA,PHI,PHI,9,10,0,19
2015,MLB,NL-East,MIA,WAS,WAS,9,10,0,19
2015,MLB,NL-East,NYN,PHI,NYN,14,5,0,19
2015,MLB,NL-East,NYN,WAS,NYN,11,8,0,19
2015,MLB,NL-East,PHI,WAS,WAS,7,12,0,19
2015,MLB,NL-West,ARI,COL,ARI,13,6,0,19
2015,MLB,NL-West,ARI,LAN,LAN,6,13,0,19
2015,MLB,NL-West,ARI,SDN,SDN,9,10,0,19
2015,MLB,NL-West,ARI,SFN,ARI,11,8,0,19
2015,MLB,NL-West,COL,LAN,LAN,8,11,0,19
