season,league,division,teams
1985,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1985,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1985,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1985,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1986,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1986,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1986,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1986,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1987,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1987,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1987,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1987,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1988,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1988,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1988,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1988,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1989,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1989,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1989,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1989,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1990,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1990,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
1990,MLB,NL-East,"(CHN,MON,NYN,PHI,PIT,SLN)"
1990,MLB,NL-West,"(ATL,CIN,HOU,LAN,SDN,SFN)"
1991,MLB,AL-East,"(BAL,BOS,CLE,DET,MIL,NYA,TOR)"
1991,MLB,AL-West,"(CAL,CHA,KCA,MIN,OAK,SEA,TEX)"
