season,league,division,team
2015,MLB,AL-Central,MIN
2015,MLB,AL-East,BAL
2015,MLB,AL-East,BOS
2015,MLB,AL-East,NYA
2015,MLB,AL-East,TBA
2015,MLB,AL-East,TOR
2015,MLB,AL-West,ANA
2015,MLB,AL-West,HOU
2015,MLB,AL-West,OAK
2015,MLB,AL-West,SEA
2015,MLB,AL-West,TEX
2015,MLB,NL-Central,CHN
2015,MLB,NL-Central,CIN
2015,MLB,NL-Central,MIL
2015,MLB,NL-Central,PIT
2015,MLB,NL-Central,SLN
2015,MLB,NL-East,ATL
2015,MLB,NL-East,MIA
2015,MLB,NL-East,NYN
2015,MLB,NL-East,PHI
2015,MLB,NL-East,WAS
2015,MLB,NL-West,ARI
2015,MLB,NL-West,COL
2015,MLB,NL-West,LAN
2015,MLB,NL-West,SDN
2015,MLB,NL-West,SFN
2016,MLB,AL-Central,CHA
2016,MLB,AL-Central,CLE
2016,MLB,AL-Central,DET
2016,MLB,AL-Central,KCA
2016,MLB,AL-Central,MIN
2016,MLB,AL-East,BAL
2016,MLB,AL-East,BOS
2016,MLB,AL-East,NYA
2016,MLB,AL-East,TBA
2016,MLB,AL-East,TOR
2016,MLB,AL-West,ANA
2016,MLB,AL-West,HOU
2016,MLB,AL-West,OAK
2016,MLB,AL-West,SEA
2016,MLB,AL-West,TEX
2016,MLB,NL-Central,CHN
2016,MLB,NL-Central,CIN
2016,MLB,NL-Central,MIL
2016,MLB,NL-Central,PIT
2016,MLB,NL-Central,SLN
2016,MLB,NL-East,ATL
2016,MLB,NL-East,MIA
2016,MLB,NL-East,NYN
2016,MLB,NL-East,PHI
2016,MLB,NL-East,WAS
2016,MLB,NL-West,ARI
2016,MLB,NL-West,COL
2016,MLB,NL-West,LAN
2016,MLB,NL-West,SDN
2016,MLB,NL-West,SFN
2017,MLB,AL-Central,CHA
2017,MLB,AL-Central,CLE
2017,MLB,AL-Central,DET
2017,MLB,AL-Central,KCA
2017,MLB,AL-Central,MIN
2017,MLB,AL-East,BAL
2017,MLB,AL-East,BOS
2017,MLB,AL-East,NYA
2017,MLB,AL-East,TBA
2017,MLB,AL-East,TOR
2017,MLB,AL-West,ANA
2017,MLB,AL-West,HOU
2017,MLB,AL-West,OAK
2017,MLB,AL-West,SEA
2017,MLB,AL-West,TEX
2017,MLB,NL-Central,CHN
2017,MLB,NL-Central,CIN
2017,MLB,NL-Central,MIL
2017,MLB,NL-Central,PIT
2017,MLB,NL-Central,SLN
2017,MLB,NL-East,ATL
2017,MLB,NL-East,MIA
2017,MLB,NL-East,NYN
2017,MLB,NL-East,PHI
2017,MLB,NL-East,WAS
2017,MLB,NL-West,ARI
2017,MLB,NL-West,COL
2017,MLB,NL-West,LAN
2017,MLB,NL-West,SDN
2017,MLB,NL-West,SFN
2018,MLB,AL-Central,CHA
2018,MLB,AL-Central,CLE
2018,MLB,AL-Central,DET
2018,MLB,AL-Central,KCA
2018,MLB,AL-Central,MIN
2018,MLB,AL-East,BAL
2018,MLB,AL-East,BOS
2018,MLB,AL-East,NYA
2018,MLB,AL-East,TBA
2018,MLB,AL-East,TOR
2018,MLB,AL-West,ANA
2018,MLB,AL-West,HOU
2018,MLB,AL-West,OAK
2018,MLB,AL-West,SEA
2018,MLB,AL-West,TEX
2018,MLB,NL-Central,CHN
2018,MLB,NL-Central,CIN
2018,MLB,NL-Central,MIL
2018,MLB,NL-Central,PIT
2018,MLB,NL-Central,SLN
2018,MLB,NL-East,ATL
2018,MLB,NL-East,MIA
2018,MLB,NL-East,NYN
2018,MLB,NL-East,PHI
2018,MLB,NL-East,WAS
2018,MLB,NL-West,ARI
2018,MLB,NL-West,COL
2018,MLB,NL-West,LAN
2018,MLB,NL-West,SDN
2018,MLB,NL-West,SFN
2019,MLB,AL-Central,CHA
2019,MLB,AL-Central,CLE
2019,MLB,AL-Central,DET
2019,MLB,AL-Central,KCA
2019,MLB,AL-Central,MIN
2019,MLB,AL-East,BAL
2019,MLB,AL-East,BOS
2019,MLB,AL-East,NYA
2019,MLB,AL-East,TBA
2019,MLB,AL-East,TOR
2019,MLB,AL-West,ANA
2019,MLB,AL-West,HOU
2019,MLB,AL-West,OAK
2019,MLB,AL-West,SEA
2019,MLB,AL-West,TEX
2019,MLB,NL-Central,CHN
2019,MLB,NL-Central,CIN
2019,MLB,NL-Central,MIL
2019,MLB,NL-Central,PIT
2019,MLB,NL-Central,SLN
2019,MLB,NL-East,ATL
2019,MLB,NL-East,MIA
2019,MLB,NL-East,NYN
2019,MLB,NL-East,PHI
2019,MLB,NL-East,WAS
2019,MLB,NL-West,ARI
2019,MLB,NL-West,COL
2019,MLB,NL-West,LAN
2019,MLB,NL-West,SDN
2019,MLB,NL-West,SFN
2020,MLB,AL-Central,CHA
2020,MLB,AL-Central,CLE
2020,MLB,AL-Central,DET
2020,MLB,AL-Central,KCA
2020,MLB,AL-Central,MIN
2020,MLB,AL-East,BAL
2020,MLB,AL-East,BOS
2020,MLB,AL-East,NYA
2020,MLB,AL-East,TBA
2020,MLB,AL-East,TOR
2020,MLB,AL-West,ANA
2020,MLB,AL-West,HOU
2020,MLB,AL-West,OAK
2020,MLB,AL-West,SEA
2020,MLB,AL-West,TEX
2020,MLB,NL-Central,CHN
2020,MLB,NL-Central,CIN
2020,MLB,NL-Central,MIL
2020,MLB,NL-Central,PIT
2020,MLB,NL-Central,SLN
2020,MLB,NL-East,ATL
2020,MLB,NL-East,MIA
2020,MLB,NL-East,NYN
2020,MLB,NL-East,PHI
2020,MLB,NL-East,WAS
2020,MLB,NL-West,ARI
2020,MLB,NL-West,COL
2020,MLB,NL-West,LAN
2020,MLB,NL-West,SDN
2020,MLB,NL-West,SFN
2021,MLB,AL-Central,CHA
2021,MLB,AL-Central,CLE
2021,MLB,AL-Central,DET
2021,MLB,AL-Central,KCA
2021,MLB,AL-Central,MIN
2021,MLB,AL-East,BAL
2021,MLB,AL-East,BOS
2021,MLB,AL-East,NYA
2021,MLB,AL-East,TBA
2021,MLB,AL-East,TOR
2021,MLB,AL-West,ANA
2021,MLB,AL-West,HOU
2021,MLB,AL-West,OAK
2021,MLB,AL-West,SEA
2021,MLB,AL-West,TEX
2021,MLB,NL-Central,CHN
2021,MLB,NL-Central,CIN
2021,MLB,NL-Central,MIL
2021,MLB,NL-Central,PIT
2021,MLB,NL-Central,SLN
2021,MLB,NL-East,ATL
2021,MLB,NL-East,MIA
2021,MLB,NL-East,NYN
2021,MLB,NL-East,PHI
2021,MLB,NL-East,WAS
2021,MLB,NL-West,ARI
2021,MLB,NL-West,COL
2021,MLB,NL-West,LAN
2021,MLB,NL-West,SDN
2021,MLB,NL-West,SFN
2022,MLB,AL-Central,CHA
2022,MLB,AL-Central,CLE
2022,MLB,AL-Central,DET
2022,MLB,AL-Central,KCA
2022,MLB,AL-Central,MIN
2022,MLB,AL-East,BAL
2022,MLB,AL-East,BOS
2022,MLB,AL-East,NYA
2022,MLB,AL-East,TBA
2022,MLB,AL-East,TOR
2022,MLB,AL-West,ANA
2022,MLB,AL-West,HOU
2022,MLB,AL-West,OAK
2022,MLB,AL-West,SEA
2022,MLB,AL-West,TEX
2022,MLB,NL-Central,CHN
2022,MLB,NL-Central,CIN
2022,MLB,NL-Central,MIL
2022,MLB,NL-Central,PIT
2022,MLB,NL-Central,SLN
2022,MLB,NL-East,ATL
2022,MLB,NL-East,MIA
2022,MLB,NL-East,NYN
2022,MLB,NL-East,PHI
2022,MLB,NL-East,WAS
2022,MLB,NL-West,ARI
2022,MLB,NL-West,COL
2022,MLB,NL-West,LAN
2022,MLB,NL-West,SDN
2022,MLB,NL-West,SFN
2023,MLB,AL-Central,CHA
2023,MLB,AL-Central,CLE
2023,MLB,AL-Central,DET
2023,MLB,AL-Central,KCA
2023,MLB,AL-Central,MIN
2023,MLB,AL-East,BAL
2023,MLB,AL-East,BOS
2023,MLB,AL-East,NYA
2023,MLB,AL-East,TBA
2023,MLB,AL-East,TOR
2023,MLB,AL-West,ANA
2023,MLB,AL-West,HOU
2023,MLB,AL-West,OAK
2023,MLB,AL-West,SEA
2023,MLB,AL-West,TEX
2023,MLB,NL-Central,CHN
2023,MLB,NL-Central,CIN
2023,MLB,NL-Central,MIL
2023,MLB,NL-Central,PIT
2023,MLB,NL-Central,SLN
2023,MLB,NL-East,ATL
2023,MLB,NL-East,MIA
2023,MLB,NL-East,NYN
2023,MLB,NL-East,PHI
2023,MLB,NL-East,WAS
2023,MLB,NL-West,ARI
2023,MLB,NL-West,COL
2023,MLB,NL-West,LAN
2023,MLB,NL-West,SDN
2023,MLB,NL-West,SFN
2024,MLB,AL-Central,CHA
2024,MLB,AL-Central,CLE
2024,MLB,AL-Central,DET
2024,MLB,AL-Central,KCA
2024,MLB,AL-Central,MIN
2024,MLB,AL-East,BAL
2024,MLB,AL-East,BOS
2024,MLB,AL-East,NYA
2024,MLB,AL-East,TBA
2024,MLB,AL-East,TOR
2024,MLB,AL-West,ANA
2024,MLB,AL-West,HOU
2024,MLB,AL-West,OAK
2024,MLB,AL-West,SEA
2024,MLB,AL-West,TEX
2024,MLB,NL-Central,CHN
2024,MLB,NL-Central,CIN
2024,MLB,NL-Central,MIL
2024,MLB,NL-Central,PIT
2024,MLB,NL-Central,SLN
2024,MLB,NL-East,ATL
2024,MLB,NL-East,MIA
2024,MLB,NL-East,NYN
2024,MLB,NL-East,PHI
2024,MLB,NL-East,WAS
2024,MLB,NL-West,ARI
2024,MLB,NL-West,COL
2024,MLB,NL-West,LAN
2024,MLB,NL-West,SDN
2024,MLB,NL-West,SFN
