season,division,team1,team2,ties,games_played
1986,AL-East,CLE,TOR,1,14
1988,NL-East,MON,PHI,1,19
1989,NL-East,PHI,PIT,1,19
1989,NL-East,PIT,SLN,1,19
1993,NL-East,CHN,MON,1,14
1994,NL-Central,CIN,SLN,1,5
1998,NL-Central,PIT,SLN,1,12
1999,AL-Central,CHA,MIN,1,12
2000,NL-Central,CIN,MIL,1,14
2001,AL-East,BAL,NYA,1,19
2003,AL-East,BAL,NYA,1,20
2005,NL-Central,CIN,HOU,1,17
2016,NL-Central,CHN,PIT,1,19
